日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ
2024/12/01,給与,350000,A銀行,収入,給与,12月分給与
2024/12/02,スーパーマーケット,-2500,A銀行,食費,食料品,週末の買い物
2024/12/03,電気料金,-8500,A銀行,光熱費,電気代,11月分
2024/12/03,ガス料金,-4200,A銀行,光熱費,ガス代,11月分
2024/12/05,コンビニ,-650,A銀行,食費,食料品,昼食
2024/12/07,Netflix,-1490,クレジットカード,趣味・娯楽,サブスク,月額
2024/12/08,ユニクロ,-5980,クレジットカード,衣服・美容,衣服,冬物
2024/12/10,交通費,-12000,A銀行,交通費,電車,定期券更新
2024/12/12,レストラン,-3500,クレジットカード,交際費,外食,友人と食事
2024/12/15,副業収入,50000,B銀行,収入,その他入金,副業報酬
2024/12/18,薬局,-1200,A銀行,医療費,薬代,風邪薬
2024/12/20,スマートフォン料金,-3500,A銀行,通信費,携帯電話,12月分
2024/12/22,書籍,-1800,クレジットカード,教育・教養,本,技術書
2024/12/25,家賃,-85000,A銀行,住居費,家賃,1月分
2024/12/28,投資信託,-50000,B証券,振替,投資,毎月積立
2024/12/30,日用品,-2800,A銀行,日用品,消耗品,洗剤など
